,year,year_built,number_of_people,energy_star_rating,floor_area,occupant_density,operating_hours,wall_insulation_r_value,electric_eui,fuel_eui,site_eui,source_eui,ghg_emissions_int,zip_code,city,state,climate,building_class,facility_type,lighting,air_flow_control,heating,heating_fuel,cooling,wall_type,roof_ceiling,window_glass_layers,window_glass_type,energy_star_label,leed_score,data_source
0,2001.0,1996.0,6.0,77.0,92903.73057313144,0.2494906233107406,85.0,,14.263706799238891,15.041320890694532,47.28137697317375,63.73705350565984,7.642178401129173,Unknown,Unknown,CA,3C Warm - Marine (San Francisco-CA),Commercial,Retail - Big Box (> 50K sf),Metal Halide,Unknown,Furnace,Natural Gas,Packaged Direct Expansion,Concrete Load Bearing,Built-up,Single-pane,Tinted,Unknown,Unknown,Anonymous
1,2001.0,1977.0,6.0,77.0,89880.49241129983,0.2494906233107406,85.0,,59.406938709701926,18.76421466778198,39.29927144364754,79.51667118977228,5.061350991410018,Unknown,Unknown,CA,3C Warm - Marine (San Francisco-CA),Commercial,Retail - Big Box (> 50K sf),Metal Halide,Unknown,Furnace,Natural Gas,Packaged Direct Expansion,Concrete Load Bearing,Built-up,Single-pane,Tinted,Unknown,Unknown,Anonymous
2,2001.0,1967.0,10.0,85.0,40067.577802285836,0.4817419789960497,74.0,,52.09019891347153,,484.56118536679173,241.4709605189851,14.179117414051857,38114,Memphis,TN,3A Warm - Humid (Memphis-TN),Commercial,Grocery store or food market,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Labeled,Unknown,Anonymous
3,2001.0,1991.0,10.0,85.0,40199.72745427758,0.4817419789960497,74.0,,401.04594152306885,17.397154763814186,685.0157296767972,144.98174990654957,10.285342218332696,38114,Memphis,TN,3A Warm - Humid (Memphis-TN),Commercial,Grocery store or food market,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Labeled,Unknown,Anonymous
4,2005.0,1940.0,11.0,79.0,82068.58755556276,0.4597508986040291,91.0,,385.77881543229716,17.933651555681195,43.32899470484723,25.05859076441362,9.640364205515748,20165,Sterling,VA,4A Mixed - Humid (Baltimore-MD),Commercial,Education - Other classroom,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Labeled,Unknown,Anonymous
5,2005.0,1955.0,11.0,79.0,82238.78961272715,0.4597508986040291,91.0,,26.021717085825312,22.087951544914777,36.888145934398395,143.04274711318612,5.182625969335386,20165,Sterling,VA,4A Mixed - Humid (Baltimore-MD),Commercial,Education - Other classroom,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Labeled,Unknown,Anonymous
6,2005.0,1965.0,13.0,76.0,1352.1019500822806,0.5403607947460304,93.0,,33.27589075916104,18.669781122542997,8.738402971178726,140.6639929128013,23.35134944513447,94509,Antioch,CA,3B Warm - Dry (El Paso-TX),Residential,Single Family - Detached,Unknown,Unknown,Unknown,Unknown,Unknown,Other Or Combination,Unknown,Single-pane,Clear,Unknown,Unknown,Anonymous
7,2005.0,1955.0,13.0,76.0,60887.96621136654,0.5403607947460304,93.0,,35.123393438776844,13.1504042734453,9.202314221424983,127.52188608105214,21.259522769345217,Unknown,Unknown,Unknown,Unknown,Commercial,Office - Uncategorized,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Labeled,Unknown,Anonymous
8,2005.0,1997.0,6.0,79.0,109699.62885358938,0.4017408771342484,85.0,,33.69397139260006,13.134724310406343,98.07510368031116,124.8160050150654,6.240409276348381,Unknown,Unknown,Unknown,Unknown,Commercial,Office - Uncategorized,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Labeled,Unknown,Anonymous
9,2005.0,1965.0,6.0,79.0,88755.3452056083,0.4017408771342484,85.0,,20.15986457372916,,118.35859302186743,96.77748825784128,6.451520336117494,43147,Pickerington,OH,5A Cool - Humid (Chicago-IL),Commercial,Grocery store or food market,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Labeled,Unknown,Anonymous
