"pressure","viscos","tempC"
1,5.10595,0
740.803,6.38705,0
1407.47,7.38511,0
363.166,5.79057,0
1,5.10716,0
805.5,6.36113,0
1868.09,7.97329,0
3285.1,10.4725,0
3907.47,11.9272,0
4125.47,12.4262,0
2572.03,9.1563,0
1,4.54223,25
805.5,5.82452,25
1505.92,6.70515,25
2339.96,7.71659,25
422.941,5.29782,25
1168.37,6.22654,25
2237.29,7.57338,25
4216.89,10.354,25
5064.29,11.9844,25
5280.88,12.4435,25
3647.27,9.52333,25
2813.94,8.34496,25
516.822,5.17275,37.7777777778
1737.99,6.64963,37.7777777778
1008.73,5.80754,37.7777777778
2749.24,7.74101,37.7777777778
1375.82,6.23206,37.7777777778
191.084,4.6606,37.7777777778
1,4.29865,37.7777777778
2922.94,7.96731,37.7777777778
4044.6,9.34225,37.7777777778
4849.8,10.5109,37.7777777778
5605.78,11.8215,37.7777777778
6273.85,13.068,37.7777777778
3636.72,8.80445,37.7777777778
1948.96,6.8553,37.7777777778
1298.47,6.11898,37.7777777778
1,3.38099,98.8888888889
685.95,4.45783,98.8888888889
1423.64,5.20675,98.8888888889
2791.43,6.29101,98.8888888889
4213.37,7.32719,98.8888888889
2103.67,5.76988,98.8888888889
402.195,4.08766,98.8888888889
1,3.37417,98.8888888889
2219.7,5.83919,98.8888888889
3534.75,6.72635,98.8888888889
4937.71,7.76883,98.8888888889
6344.17,8.91362,98.8888888889
7469.35,9.98334,98.8888888889
5640.94,8.32329,98.8888888889
4107.89,7.1321,98.8888888889
